id_municipio,nome
3505609,Barrinha
3507803,Brodowski
3513108,Cravinhos
3514601,Dumont
3518859,Guatapará
3525102,Jardinópolis
3527603,Luís Antônio
3540200,Pontal
3540903,Pradópolis
3543402,Ribeirão Preto
3547502,Santa Rita do Passa Quatro
3550902,São Simão
3551504,Serrana
3551405,Serra Azul
3551702,Sertãozinho
3518602,Guariba
3524303,Jaboticabal
3531308,Monte Alto
3539509,Pitangueiras
3553203,Taiúva
3553658,Taquaral
3509403,Cajuru
3510906,Cássia dos Coqueiros
3530508,Mococa
3546256,Santa Cruz da Esperança
3547601,Santa Rosa de Viterbo
3553302,Tambaú
3501004,Altinópolis
3505906,Batatais
3531902,Morro Agudo
3533601,Nuporanga
3534302,Orlândia
3544905,Sales Oliveira
3547908,Santo Antônio da Alegria
